ano,BRB,COL,CRI,DOM,JAM,LCN,PAN,TTO
2000,,0.015349220083103746,0.06209223110013129,,,,,0.25837755555117764
2001,0.3810612746499,0.024931211262500926,0.07418082603736091,,0.03810390591688853,,,0.5031809029645427
2002,0.37857566591456304,0.025542667666550608,0.08594119790318486,,0.037870584479423396,,,0.6599044602484514
2003,0.37625671618204803,0.026137449911668855,0.097409045748703,,0.037641774914995464,,,0.9128197390172174
2004,0.3741143031373224,0.026237766009725164,0.10857869782418325,,0.07484400078586197,,,1.230879008161263
2005,0.7443079425096574,0.026585027212979798,0.11943072204334887,,0.07443062805305117,,,1.36114953024116
2006,0.7407352908496975,0.02717195000248764,0.12261705859756464,,0.07404753036689068,,,1.5293417897844592
2007,2.211671728937513,0.027292464267800715,0.1257504255466814,,0.14739480433340701,,,1.6191063760562558
2008,2.200107071877498,0.028108626724932726,0.12877450194321874,,0.2201321893797225,,,1.7346955150861196
2009,2.918398091367744,0.02823484278534601,0.13172011766768724,,0.2557549429209772,,,1.93114144962316
2010,3.6331532500372394,0.028362573471627454,0.13513304105697108,,0.3638258176621426,,,2.148417714314335
2011,4.526705753261944,0.02894412665560957,0.1664205688145319,0.001005467632438437,0.5433810035450177,,,2.1317466843471364
2012,5.416374784247738,0.02887403723132107,0.48754013242897526,0.2909513822226323,0.6492499359767424,,,2.9958193341192367
2013,1.5378243566888157,0.02990146557049916,0.5414260412154244,0.8201036842569424,0.7565505748311502,,,2.983834331550244
2014,4.652449811027922,0.030494726033770677,0.9998586148153634,1.4347302435706635,1.470425439078457,,0.6166335354606676,2.9739627738056393
2015,11.093587583784366,0.031083710134609498,1.7692774527722694,2.2616566117183137,2.323968237316657,,10.782732980895371,2.9644349309866804
2016,53.42670548430247,0.03204215052425178,2.749426443158596,6.758325648750928,9.791399739849782,,21.972725327779056,2.9551774694492563
2017,58.528545067119715,0.2351910755042719,3.8385822452559717,8.901415817219771,19.71507626349367,,30.931706023387378,2.949213236004137
2018,61.44041024398758,0.2729249569577149,6.364633594859674,17.71462262335383,19.68478460138073,,47.77319775616263,2.9436584797008227
2019,118.10161197978714,0.4530738317726111,9.453593151227718,30.732390169563313,37.903906497109205,,53.045079934824194,2.9333167153597732
2020,174.49538157885397,1.4541972025003278,11.075702974781104,35.019031094719445,37.803909155877676,,54.75324933657655,2.9274360240721435
2021,226.57336423920864,2.98391192824952,14.344407536144356,52.483590561080014,38.063815466285504,,114.71105685200804,2.9987759202900355
2022,245.62018716482834,5.94177070507479,14.283854133357208,65.46045877321998,38.76626194374079,,120.24932892471392,3.002624825652271
2023,245.60452793834295,10.18603413013536,14.20993531517327,95.02796024980442,39.81391555560877,,144.96522462864667,3.002537458592624
2024,245.49062368347455,26.794451719056575,14.142388462955493,124.48741231393552,41.058758266045594,,164.57786014943386,3.3785635514162125
2025,245.35511971778664,32.311080626369716,16.03667413811506,180.81327638319453,41.08912095089418,,212.9345341004277,70.64303490953118
