pais,HCI_2020
Costa Rica,0.628635048866272
Colômbia,0.60433030128479
Trinidad e Tobago,0.603487730026245
Jamaica,0.534977912902832
República Dominicana,0.502766907215118
Panamá,0.501601994037628
